"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_107"	"V4-38-2_J1*01"	8	0.000195279127102302
"Biotech_108"	"V1-24_J1*01"	8	0.000187608461141597
"Biotech_108"	"V3-11_J1*01"	8	0.000187608461141597
"Biotech_108"	"V3-49_J2*01"	8	0.000187608461141597
"Biotech_108"	"V3-74_J2*01"	8	0.000187608461141597
"Biotech_110"	"V1-18_J1*01"	8	0.000317107975265578
"Biotech_110"	"V1-8_J1*01"	8	0.000317107975265578
"Biotech_110"	"V4-4_J1*01"	8	0.000317107975265578
"Biotech_111"	"V1-8_J1*01"	8	0.000234893417111985
"Biotech_111"	"V3-49_J4*02,J5*02"	8	0.000234893417111985
"Biotech_111"	"V3-72_J6*03"	8	0.000234893417111985
"Biotech_111"	"V6-1_J2*01"	8	0.000234893417111985
"Biotech_115"	"V1-2_J1*01"	8	0.000550395596835225
"Biotech_115"	"V3-15_J1*01"	8	0.000550395596835225
"Biotech_115"	"V3-20_J6*02"	8	0.000550395596835225
"Biotech_115"	"V3-33_J2*01"	8	0.000550395596835225
"Biotech_115"	"V3-74_J5*02"	8	0.000550395596835225
