"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_099"	"V4-30-4_J5*02"	7	0.00304480208786429
"Biotech_099"	"V4-39_J6*02"	7	0.00304480208786429
"Biotech_099"	"V5-10-1_J3*02"	7	0.00304480208786429
"Biotech_099"	"V5-10-1_J6*03"	7	0.00304480208786429
"Biotech_100"	"V2-70_J2*01"	7	0.000234529433443897
"Biotech_100"	"V3-48_J1*01"	7	0.000234529433443897
"Biotech_100"	"V3-64_J1*01"	7	0.000234529433443897
"Biotech_100"	"V3-66_J1*01"	7	0.000234529433443897
"Biotech_100"	"V4-30-2_J2*01"	7	0.000234529433443897
"Biotech_100"	"V5-51_J4*02,J5*02"	7	0.000234529433443897
"Biotech_101"	"V1-2_J4*02,J5*02"	7	0.00103427895981087
"Biotech_101"	"V1-3_J6*02"	7	0.00103427895981087
"Biotech_101"	"V1-46_J2*01"	7	0.00103427895981087
"Biotech_101"	"V1-69_J2*01"	7	0.00103427895981087
"Biotech_101"	"V2-26_J5*02"	7	0.00103427895981087
"Biotech_101"	"V3-13_J2*01"	7	0.00103427895981087
"Biotech_101"	"V3-30-3_J5*02"	7	0.00103427895981087
"Biotech_101"	"V3-66_J5*02"	7	0.00103427895981087
"Biotech_101"	"V3-7_J1*01"	7	0.00103427895981087
"Biotech_101"	"V3-7_J4*02,J5*02"	7	0.00103427895981087
"Biotech_101"	"V4-30-4_J5*02"	7	0.00103427895981087
"Biotech_101"	"V6-1_J6*02"	7	0.00103427895981087
"Biotech_101"	"V7-4-1_J5*02"	7	0.00103427895981087
"Biotech_103"	"V1-69-2_J4*02"	7	0.000779336450679136
"Biotech_103"	"V2-26_J3*02"	7	0.000779336450679136
"Biotech_103"	"V2-5_J3*02"	7	0.000779336450679136
"Biotech_103"	"V2-5_J6*02"	7	0.000779336450679136
"Biotech_103"	"V3-15_J1*01"	7	0.000779336450679136
"Biotech_103"	"V3-33_J2*01"	7	0.000779336450679136
"Biotech_103"	"V3-33_J4*02,J5*02"	7	0.000779336450679136
"Biotech_103"	"V3-66_J5*02"	7	0.000779336450679136
"Biotech_103"	"V3-72_J4*02"	7	0.000779336450679136
"Biotech_103"	"V3-74_J5*02"	7	0.000779336450679136
"Biotech_103"	"V3-9_J4*02,J5*02"	7	0.000779336450679136
"Biotech_103"	"V6-1_J3*02"	7	0.000779336450679136
"Biotech_105"	"V1-8_J2*01"	7	0.000425972129252115
"Biotech_105"	"V3-11_J2*01"	7	0.000425972129252115
"Biotech_105"	"V3-13_J5*02"	7	0.000425972129252115
"Biotech_105"	"V3-15_J2*01"	7	0.000425972129252115
"Biotech_105"	"V3-33_J4*02,J5*02"	7	0.000425972129252115
"Biotech_105"	"V3-48_J1*01"	7	0.000425972129252115
"Biotech_105"	"V3-73_J3*02"	7	0.000425972129252115
"Biotech_105"	"V4-4_J4*02,J5*02"	7	0.000425972129252115
"Biotech_106"	"V2-26_J5*02"	7	0.000698324022346369
"Biotech_106"	"V3-11_J2*01"	7	0.000698324022346369
"Biotech_106"	"V3-20_J5*02"	7	0.000698324022346369
"Biotech_106"	"V3-48_J4*02,J5*02"	7	0.000698324022346369
"Biotech_106"	"V3-49_J6*03"	7	0.000698324022346369
"Biotech_106"	"V4-30-2_J6*03"	7	0.000698324022346369
"Biotech_106"	"V4-30-4_J6*03"	7	0.000698324022346369
"Biotech_106"	"V4-61_J3*02"	7	0.000698324022346369
"Biotech_107"	"V2-70_J6*03"	7	0.000170869236214514
"Biotech_107"	"V3-43_J1*01"	7	0.000170869236214514
"Biotech_107"	"V5-10-1_J4*02,J5*02"	7	0.000170869236214514
"Biotech_108"	"V1-24_J2*01"	7	0.000164157403498898
"Biotech_108"	"V3-15_J1*01"	7	0.000164157403498898
"Biotech_108"	"V3-15_J2*01"	7	0.000164157403498898
"Biotech_108"	"V3-43_J2*01"	7	0.000164157403498898
"Biotech_108"	"V3-66_J1*01"	7	0.000164157403498898
"Biotech_108"	"V3-66_J2*01"	7	0.000164157403498898
"Biotech_108"	"V3-72_J6*02"	7	0.000164157403498898
"Biotech_108"	"V4-4_J4*02,J5*02"	7	0.000164157403498898
"Biotech_108"	"V7-4-1_J4*02"	7	0.000164157403498898
"Biotech_110"	"V1-24_J1*01"	7	0.000277469478357381
"Biotech_110"	"V3-48_J1*01"	7	0.000277469478357381
"Biotech_110"	"V3-53_J5*02"	7	0.000277469478357381
"Biotech_110"	"V3-64_J6*02"	7	0.000277469478357381
"Biotech_110"	"V3-66_J1*01"	7	0.000277469478357381
"Biotech_110"	"V3-72_J6*02"	7	0.000277469478357381
"Biotech_110"	"V3-73_J4*02,J5*02"	7	0.000277469478357381
"Biotech_110"	"V3-74_J2*01"	7	0.000277469478357381
"Biotech_110"	"V4-30-2_J2*01"	7	0.000277469478357381
"Biotech_110"	"V4-31_J1*01"	7	0.000277469478357381
"Biotech_110"	"V6-1_J2*01"	7	0.000277469478357381
"Biotech_111"	"V1-3_J4*02"	7	0.000205531739972987
"Biotech_111"	"V3-53_J5*02"	7	0.000205531739972987
"Biotech_111"	"V3-66_J1*01"	7	0.000205531739972987
"Biotech_111"	"V4-4_J1*01"	7	0.000205531739972987
