"SAMPLE"	"FUNCTIONAL"	"SEQ_COUNT"	"SEQ_FREQ"
"CD1211"	"FALSE"	212	0.00534961770420652
"CD1113"	"FALSE"	211	0.00346982404209834
"CD1125"	"FALSE"	173	0.00438451985705958
"HC_23_BB"	"FALSE"	173	0.00328584995251662
"HC_24_BB"	"FALSE"	157	0.0035794081437235
"CD0497"	"FALSE"	133	0.003189907420732
"Biotech_106"	"FALSE"	131	0.0130686352753392
"BC_12"	"FALSE"	124	0.00308281331576461
"Biotech_090"	"FALSE"	121	0.00351407080417042
"Biotech_079"	"FALSE"	115	0.0172155688622754
"CD1120"	"FALSE"	107	0.00324793589120933
"HC_15_BB"	"FALSE"	92	0.00375081539465101
"Biotech_083"	"FALSE"	76	0.00357815442561205
"Biotech_089"	"FALSE"	65	0.00202013923421184
"Biotech_105"	"FALSE"	46	0.00279924542079961
"Biotech_067"	"FALSE"	18	0.000496921845236452
"Biotech_050"	"FALSE"	16	0.000410372156249198
"CD1110"	"FALSE"	16	0.000288283093998306
"CD1362_HC"	"FALSE"	16	0.00036231063608161
"Biotech_065"	"FALSE"	15	0.000333607632942642
"Biotech_092"	"FALSE"	15	0.00032708955712074
"Biotech_094"	"FALSE"	15	0.000485295544986897
"CD1205"	"FALSE"	14	0.000230270732589888
"BC_14"	"FALSE"	13	0.000231205648531844
"BC_16"	"FALSE"	13	0.000251737960147944
"Biotech_045"	"FALSE"	13	0.000383028874484384
"CD1202"	"FALSE"	13	0.000272725365556884
"Biotech_086"	"FALSE"	12	0.000280386933968877
"CD1169"	"FALSE"	12	0.000196145736282058
"CD1208"	"FALSE"	12	0.00025531914893617
"HC_16_BB"	"FALSE"	12	0.000326966567668456
"HC_11_BB"	"FALSE"	11	0.00027122321670735
"BC_11"	"FALSE"	10	0.000192518722445758
"Biotech_081"	"FALSE"	10	0.000317470395885584
"Biotech_096"	"FALSE"	10	0.000337917750819451
"BC_18"	"FALSE"	9	0.000177165354330709
"Biotech_064"	"FALSE"	9	0.000262283616016786
"Biotech_087"	"FALSE"	9	0.000255885363357216
"Biotech_108"	"FALSE"	9	0.000211059518784297
"CD1076"	"FALSE"	9	0.00023409457420798
"CD1149"	"FALSE"	9	0.000545355389929104
"HC_22_BB"	"FALSE"	9	0.000272034820457019
"BC_10"	"FALSE"	8	0.000203925567167984
"BC_13"	"FALSE"	8	0.000116323029051677
"Biotech_097"	"FALSE"	8	0.000191786733152734
"Biotech_100"	"FALSE"	8	0.000268033638221597
"Biotech_111"	"FALSE"	8	0.000234893417111985
"Biotech_115"	"FALSE"	8	0.000550395596835225
"Biotech_121"	"FALSE"	8	0.000388632499392762
"CD1071"	"FALSE"	8	0.000192877980567543
"HC_10_BB"	"FALSE"	8	0.000146788990825688
"HC_31_BB"	"FALSE"	8	0.000254728395847927
"Biotech_103"	"FALSE"	7	0.000779336450679136
"CD0844"	"FALSE"	7	0.000134817611031933
"CD1363_HC"	"FALSE"	7	0.000249039419382382
"CD1368"	"FALSE"	7	0.000164628410159925
"HC_20_BB"	"FALSE"	7	0.000148607336956522
"HC_35_BB"	"FALSE"	7	0.000177233137532915
"Biotech_107"	"FALSE"	6	0.000146459345326726
"Biotech_110"	"FALSE"	6	0.000237830981449183
"Biotech_127"	"FALSE"	6	0.00155682407887909
"CD1115"	"FALSE"	6	0.000176273576590869
"CD1129"	"FALSE"	6	0.000149514079242462
"HC_21_BB"	"FALSE"	6	9.99983333611106e-05
"Biotech_078"	"FALSE"	5	0.00027753108348135
"Biotech_131"	"FALSE"	5	0.000359040643400833
"CD1086"	"FALSE"	5	0.000118357202035744
"HC_14_BB"	"FALSE"	5	0.000133675542722703
"HC_36_BB"	"FALSE"	5	0.000192923563684068
"BC_17"	"FALSE"	4	9.50344499881207e-05
"Biotech_129"	"FALSE"	4	0.000128998968008256
"CD1081"	"FALSE"	4	0.000131285282919785
"CD1096"	"FALSE"	4	0.000447777902160528
"CD1212"	"FALSE"	4	0.000103199174406605
"HC_13_BB"	"FALSE"	4	0.000198186592677005
"Biotech_080"	"FALSE"	3	0.000236369366530098
"CD1127"	"FALSE"	3	7.72737810061046e-05
"CD1268"	"FALSE"	3	0.000137299771167048
"Biotech_072"	"FALSE"	2	0.000280662363177098
"Biotech_085"	"FALSE"	2	0.000686341798215511
"Biotech_132"	"FALSE"	2	0.000267415429870304
"CD1187"	"FALSE"	2	0.000225682690137666
"HC_30_BB"	"FALSE"	2	0.000168890390136801
"HC_32_BB"	"FALSE"	2	0.000130157490563582
"HC_33_BB"	"FALSE"	2	0.000128369704749679
"Biotech_075"	"FALSE"	1	0.000133922592741395
"Biotech_091"	"FALSE"	1	7.40795614489962e-05
"Biotech_093"	"FALSE"	1	0.0002154243860405
"Biotech_101"	"FALSE"	1	0.000147754137115839
"CD0838"	"FALSE"	1	8.50774204526119e-05
"CD1114"	"FALSE"	1	0.000603500301750151
"HC_09_BB"	"FALSE"	1	3.69767785830498e-05
"HC_12_BB"	"FALSE"	1	4.92465281197676e-05
"HC_37_BB"	"FALSE"	1	0.000389105058365759
"HC_38_BB"	"FALSE"	1	7.59532128209023e-05
