"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_107-Healthy#FALSE"	12	2884	0.0703981253203798
"CD1205-Celiac#FALSE"	10	2883	0.0474193230040462
"BC_18-Healthy#NA"	6	2879	0.0566732283464567
"CD1208-Celiac#FALSE"	14	2876	0.0611914893617021
"CD1169-Celiac#FALSE"	5	2873	0.0469605583615293
"CD1362_HC-Healthy#NA"	6	2872	0.0650347591766491
"HC_23_BB-Healthy#NA"	6	2866	0.0544349477682811
"Biotech_065-Celiac#M"	12	2864	0.0636968173831817
"HC_23_BB-Healthy#NA"	14	2858	0.0542830009496676
"CD1205-Celiac#FALSE"	5	2854	0.0469423336293957
"CD1113-Celiac#FALSE"	5	2844	0.0467686235816478
"CD1208-Celiac#FALSE"	11	2839	0.0604042553191489
"CD0844-Celiac#FALSE"	7	2830	0.0545048341743384
"BC_11-Healthy#NA"	7	2827	0.0544250428354157
"CD1205-Celiac#FALSE"	8	2824	0.0464488963452745
"HC_21_BB-Healthy#NA"	5	2823	0.0470492158464026
"HC_21_BB-Healthy#NA"	9	2820	0.046999216679722
"BC_18-Healthy#NA"	15	2816	0.0554330708661417
"HC_20_BB-Healthy#NA"	12	2814	0.0597401494565217
"BC_14-Healthy#NA"	16	2806	0.0499048499831042
"CD0844-Celiac#FALSE"	15	2806	0.0540426023650861
"CD1202-Celiac#FALSE"	14	2805	0.0588457423374662
"BC_16-Healthy#NA"	15	2799	0.0542011192656997
"HC_10_BB-Healthy#NA"	16	2798	0.0513394495412844
"CD1202-Celiac#FALSE"	15	2794	0.0586149747204565
"BC_14-Healthy#NA"	10	2791	0.0496380742347982
"HC_23_BB-Healthy#NA"	11	2779	0.0527825261158595
"BC_16-Healthy#NA"	9	2766	0.0535620921360934
"HC_24_BB-Healthy#NA"	13	2754	0.0627878345720669
"BC_13-Healthy#NA"	18	2752	0.0400151219937767
"HC_23_BB-Healthy#NA"	15	2749	0.0522127255460589
"BC_17-Healthy#NA"	12	2748	0.0652886671418389
"Biotech_107-Healthy#FALSE"	13	2747	0.0670539702687529
"HC_20_BB-Healthy#NA"	7	2742	0.0582116168478261
"Biotech_108-Healthy#M"	6	2739	0.0642324468833544
"BC_17-Healthy#NA"	6	2738	0.0650510810168686
"BC_16-Healthy#NA"	8	2737	0.0530005228403788
"CD1362_HC-Healthy#NA"	11	2725	0.0617060302076493
"CD1202-Celiac#FALSE"	6	2721	0.0570835168984832
"CD1202-Celiac#FALSE"	11	2720	0.0570625380242096
"CD1208-Celiac#FALSE"	15	2719	0.0578510638297872
"CD1211-Celiac#M"	12	2717	0.0685609023694769
"HC_10_BB-Healthy#NA"	10	2717	0.0498532110091743
"Biotech_086-Healthy#FALSE"	13	2715	0.0634375438104584
"Biotech_086-Healthy#FALSE"	12	2708	0.0632739847656432
"HC_10_BB-Healthy#NA"	7	2707	0.0496697247706422
"HC_21_BB-Healthy#NA"	17	2706	0.0450992483458609
"Biotech_065-Celiac#M"	6	2705	0.0601605764739897
"Biotech_092-Celiac#FALSE"	12	2695	0.0587670904293596
"CD1208-Celiac#FALSE"	6	2695	0.0573404255319149
"CD0497-Celiac#FALSE"	12	2692	0.0645656449369214
"Biotech_092-Celiac#FALSE"	13	2687	0.0585926426655618
"BC_16-Healthy#NA"	10	2686	0.0520129354582599
"HC_21_BB-Healthy#NA"	8	2685	0.044749254179097
"CD0844-Celiac#FALSE"	10	2677	0.0515581063903548
"HC_20_BB-Healthy#NA"	13	2676	0.0568104619565217
"Biotech_097-Celiac#FALSE"	13	2673	0.0640807422146573
"BC_14-Healthy#NA"	9	2666	0.0474149429989151
"BC_17-Healthy#NA"	13	2665	0.0633167023045854
"BC_11-Healthy#NA"	10	2657	0.0511522245538379
"Biotech_107-Healthy#FALSE"	11	2656	0.0648326701979642
"CD1362_HC-Healthy#NA"	13	2654	0.0600982767600371
"CD0844-Celiac#FALSE"	8	2652	0.0510766149223836
"CD0844-Celiac#FALSE"	9	2652	0.0510766149223836
"CD1086-Celiac#M"	13	2652	0.0627766599597585
"CD1368-Celiac#NA"	13	2652	0.0623706491063029
"CD1086-Celiac#M"	14	2646	0.0626346313173157
"BC_11-Healthy#NA"	8	2644	0.0509019502146584
"Biotech_107-Healthy#FALSE"	6	2643	0.064515341616423
"CD1110-Celiac#FALSE"	17	2638	0.0475306751229708
"BC_11-Healthy#NA"	9	2635	0.0507286833644572
"HC_24_BB-Healthy#NA"	12	2635	0.0600747799917924
"BC_10-Healthy#NA"	6	2629	0.0670150395105786
"BC_12-Healthy#NA"	6	2629	0.0653606145737513
"BC_17-Healthy#NA"	11	2627	0.0624138750296983
"HC_10_BB-Healthy#NA"	9	2625	0.0481651376146789
"Biotech_097-Celiac#FALSE"	12	2624	0.0629060484740968
"CD1368-Celiac#NA"	12	2624	0.0617121354656632
"CD0497-Celiac#FALSE"	11	2623	0.0629107305607522
"CD1125-Celiac#FALSE"	6	2622	0.0664520870821401
"CD1211-Celiac#M"	5	2616	0.0660122637462464
"CD1071-Celiac#FALSE"	12	2612	0.0629746606553029
"CD0497-Celiac#FALSE"	6	2611	0.0626229193648966
"BC_11-Healthy#NA"	16	2609	0.0502281346860982
"CD0844-Celiac#FALSE"	16	2605	0.0501714109625977
"CD1362_HC-Healthy#NA"	14	2598	0.0588301895337515
"Biotech_065-Celiac#M"	11	2597	0.0577586015168027
"CD0497-Celiac#FALSE"	13	2596	0.0622631553700772
"CD1211-Celiac#M"	11	2593	0.0654318806934316
"CD1071-Celiac#FALSE"	13	2592	0.0624924657038841
"CD1129-Celiac#M"	13	2592	0.0645900822327436
"Biotech_092-Celiac#FALSE"	7	2587	0.0564120456180902
"Biotech_065-Celiac#M"	14	2580	0.0573805128661344
"CD0844-Celiac#FALSE"	5	2577	0.04963214051847
"HC_10_BB-Healthy#NA"	8	2577	0.0472844036697248
"BC_18-Healthy#NA"	16	2576	0.0507086614173228
"HC_20_BB-Healthy#NA"	11	2575	0.0546662703804348
"HC_21_BB-Healthy#NA"	18	2574	0.0428992850119165
"BC_10-Healthy#NA"	12	2572	0.0655620698445068
"BC_14-Healthy#NA"	7	2569	0.0456897931598698
"Biotech_108-Healthy#M"	12	2565	0.0601519628535247
"HC_24_BB-Healthy#NA"	11	2565	0.0584788655328074
"Biotech_050-Healthy#M"	12	2560	0.0656595449998718
"BC_14-Healthy#NA"	5	2557	0.045476372561225
"BC_16-Healthy#NA"	16	2549	0.04936000464747
"BC_14-Healthy#NA"	8	2547	0.0452985220623544
"CD1086-Celiac#M"	12	2547	0.0602911587170079
"CD1113-Celiac#FALSE"	17	2544	0.0418352244696596
"Biotech_086-Healthy#FALSE"	11	2543	0.0594186644235712
"HC_24_BB-Healthy#NA"	6	2541	0.0579316948611554
"CD1202-Celiac#FALSE"	16	2536	0.053202425157866
"CD1362_HC-Healthy#NA"	7	2533	0.05735830257467
"BC_18-Healthy#NA"	7	2529	0.0497834645669291
"CD1071-Celiac#FALSE"	6	2528	0.0609494418593437
"BC_18-Healthy#NA"	10	2522	0.0496456692913386
"Biotech_108-Healthy#M"	13	2518	0.0590497631443178
"HC_35_BB-Healthy#NA"	13	2518	0.0637532914725542
"BC_12-Healthy#NA"	12	2517	0.0625761380304801
"CD1110-Celiac#FALSE"	18	2514	0.0452964811444839
"CD1212-Celiac#M"	12	2514	0.0648606811145511
"HC_20_BB-Healthy#NA"	15	2514	0.0533712635869565
"Biotech_086-Healthy#FALSE"	14	2513	0.058717697088649
"Biotech_108-Healthy#M"	11	2509	0.0588387036255335
"CD1129-Celiac#M"	12	2506	0.062447047096935
"Biotech_097-Celiac#FALSE"	14	2498	0.0598854074269412
"HC_10_BB-Healthy#NA"	5	2498	0.0458348623853211
"BC_11-Healthy#NA"	5	2496	0.0480526731224612
"Biotech_092-Celiac#FALSE"	11	2496	0.0544277023048911
"Biotech_086-Healthy#FALSE"	6	2489	0.0581569232207112
"Biotech_107-Healthy#FALSE"	14	2488	0.0607318085288159
