"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"HC_33_BB"	"J4*02"	8210	0.526957637997433	NA
"CD1125"	"J6*02"	8107	0.205464176191804	NA
"Biotech_064"	"J6*02"	8070	0.235180975695052	NA
"CD1120"	"J6*02"	8039	0.24402015541525	NA
"BC_13"	"J3*02"	7898	0.114839910431268	NA
"Biotech_105"	"J4*02"	7837	0.476906225278403	NA
"BC_17"	"J6*03"	7796	0.185222143026847	NA
"HC_21_BB"	"J3*02"	7721	0.128681188646856	NA
"CD1115"	"J6*02"	7690	0.22592396733063	NA
"CD1211"	"J3*02"	7677	0.19372176941129	NA
"CD1129"	"J6*02"	7593	0.189210067281336	NA
"CD1110"	"J5*02"	7561	0.136231779607575	NA
"Biotech_045"	"J6*02"	7555	0.222598703594579	NA
"HC_22_BB"	"J6*02"	7521	0.227330431628582	NA
"Biotech_092"	"J5*02"	7457	0.162607121829957	NA
"CD1169"	"J3*02"	7457	0.121888229621275	NA
"Biotech_131"	"J4*02"	7437	0.534037052994399	NA
"HC_21_BB"	"J5*02"	7425	0.123747937534374	NA
"HC_32_BB"	"J4*02"	7420	0.482884289990889	NA
"CD1113"	"J5*02"	7383	0.121410952146029	NA
"CD0844"	"J5*02"	7373	0.142001463734063	NA
"HC_21_BB"	"J6*02"	7290	0.121497975033749	NA
"CD1149"	"J4*02"	7275	0.440828940192692	NA
"CD1113"	"J3*02"	7225	0.118812695280382	NA
"Biotech_115"	"J4*02"	7221	0.496800825593395	NA
"BC_17"	"J3*02"	7201	0.171085768591114	NA
"CD1205"	"J3*02"	7189	0.118244021184907	NA
"CD1205"	"J5*02"	6880	0.113161617158459	NA
"CD1169"	"J5*02"	6872	0.112326124977525	NA
"HC_10_BB"	"J5*02"	6851	0.125706422018349	NA
"BC_14"	"J5*02"	6830	0.121471890728653	NA
"BC_18"	"J5*02"	6827	0.134389763779528	NA
"CD1208"	"J3*02"	6707	0.142702127659574	NA
"CD1202"	"J3*02"	6679	0.140117901273418	NA
"HC_14_BB"	"J6*02"	6678	0.178537054860443	NA
"CD1212"	"J6*02"	6676	0.172239422084623	NA
"Biotech_067"	"J6*02"	6640	0.183308947353891	NA
"Biotech_080"	"J4*02"	6600	0.520012606366215	NA
"BC_14"	"J3*02"	6574	0.116918917957565	NA
"BC_11"	"J3*02"	6443	0.124039812871802	NA
"CD1363_HC"	"J6*02"	6435	0.228938380532233	NA
"Biotech_091"	"J4*02"	6416	0.47529446625676	NA
"Biotech_129"	"J6*02"	6375	0.205592105263158	NA
"Biotech_065"	"J3*02"	6363	0.141516357894269	NA
"BC_16"	"J3*02"	6361	0.123177320346237	NA
"CD0497"	"J6*02"	6331	0.151844390080107	NA
"CD1110"	"J3*02"	6286	0.113259220554585	NA
"Biotech_108"	"J5*02"	6277	0.147202288823226	NA
"Biotech_107"	"J3*02"	6184	0.150950765250079	NA
"Biotech_081"	"J6*02"	6157	0.195466522746754	NA
"Biotech_096"	"J6*02"	6155	0.207988375629372	NA
"HC_10_BB"	"J3*02"	6141	0.112678899082569	NA
"HC_24_BB"	"J5*02"	6135	0.139870502941042	NA
"HC_23_BB"	"J5*02"	6131	0.11644824311491	NA
"CD1362_HC"	"J3*02"	6123	0.138651751545481	NA
"HC_24_BB"	"J6*02"	6096	0.138981350599608	NA
"CD1268"	"J6*02"	5966	0.27304347826087	NA
"Biotech_050"	"J6*02"	5943	0.152427607786812	NA
