	SUBJECTN	J1*01	J2*01	J3*02	J4*02	J5*02	J6*02	J6*03	J6*04
56	CD1120	0.0115650801359883	0.0259531325886353	0.11686498300145699	0.48102841185041295	0.120568237008256	0.24402015541525		
22	CD1125	0.0145474820690879	0.0311985199077477	0.12431254276807699	0.501736067111032	0.122741211952252	0.205464176191804		
60	CD1127	0.009041032377714241	0.017000231821343	0.0800298791953224	0.44545758957319104	0.146382299152564	0.302088967879865		
23	CD1129	0.0140044854223773	0.0310989284824321	0.121430351358086	0.525691502616496	0.118564664839272	0.18921006728133605		
80	CD1149	0.0100587771920257	0.0250257528934133	0.13161243410289	0.440828940192692	0.12967339271647602	0.1628188814155	0.0999818214870024	
1	CD1169	0.015479167688258999	0.030664116772095	0.12188822962127499	0.500318736821458	0.11232612497752499	0.219323624119387		
78	CD1187	0.02031144211239	0.0276461295418641	0.127510719927782	0.48070412999323	0.110020311442112		0.0792146242383209	0.154592642744302
9	CD1202	0.0157970923280257	0.0319718043929763	0.140117901273418	0.535632617953721	0.10806218138334699	0.0862861098873434	0.0821322927811694	
0	CD1205	0.0162011908286457	0.0325504128425277	0.118244021184907	0.493618211125366	0.113161617158459	0.226224546860094		
6	CD1208	0.0165106382978723	0.0371489361702128	0.142702127659574	0.483297872340426	0.11563829787233999	0.20470212765957396		
8	CD1211	0.0191526407428903	0.0358323449998738	0.19372176941129	0.507532362663706	0.0999015872214792	0.0860480960912463	0.0578111988695147	
15	CD1212	0.0171310629514964	0.0360681114551084	0.14734262125903	0.529076367389061	0.0981424148606811	0.172239422084623		
75	CD1268	0.00878718535469108	0.0186270022883295	0.10132723112128099	0.477528604118993	0.12068649885583502	0.27304347826087		
17	CD1362_HC	0.0143339145399787	0.025882566065080003	0.13865175154548098	0.508163311519214	0.115418582006748	0.0894680826974027	0.108081791626095	
63	CD1363_HC	0.0116692756510602	0.0227337412836203	0.0938167069873346	0.524548171339121	0.11829372420663198	0.228938380532233		
25	CD1368	0.012793979303856999	0.030620884289746	0.12060206961429902	0.524035747883349	0.10936030103480698	0.20258701787394198		
62	HC_09_BB	0.0123132672681556	0.0288788640733619	0.12353941724596999	0.5327614258245821	0.102092885667801	0.20041413992013		
28	HC_10_BB	0.009688073394495409	0.0274311926605505	0.11267889908256899	0.484366972477064	0.125706422018349	0.24012844036697198		
32	HC_11_BB	0.0126981778731168	0.0227580935473531	0.133639075868531	0.47486253914244103	0.11625613334319601	0.132529526345637	0.107256453879725	
64	HC_12_BB	0.0137397813454151	0.0326996946715257	0.109770511178962	0.50640204865557	0.12070324042154999	0.216684723726977		
67	HC_13_BB	0.0133280483575286	0.0287370559381658	0.112669077936878	0.48521032552147797	0.118020115939157	0.24203537630679298		
41	HC_14_BB	0.0122446797133996	0.0280985990803123	0.127553202866004	0.536947920008555	0.116618543471286	0.178537054860443		
59	HC_15_BB	0.0147994129158513	0.0326565557729941	0.139758643183301	0.521852576647097	0.12190150032615801	0.169031311154599		
42	HC_16_BB	0.0123429879294842	0.0240320427236315	0.13190376284025002	0.499386937685622	0.131277076918885	0.10498351543554699	0.0960736764665813	
12	HC_20_BB	0.0147758152173913	0.0311013926630435	0.12190047554347802	0.48974609375	0.12548828125	0.216987941576087		
18	HC_21_BB	0.0102498291695138	0.0203329944500925	0.12868118864685602	0.505541574307095	0.12374793753437402	0.12149797503374901	0.08994850085831899	
48	HC_22_BB	0.0122415669205658	0.0283520735098537	0.13426429694112	0.49053923346632794	0.10727239753355099	0.227330431628582		
3	HC_23_BB	0.016315289648623	0.0315289648622982	0.15698005698005701	0.462943969610636	0.11644824311490999	0.10317188983855698	0.112611585944919	
46	HC_24_BB	0.00941589530801149	0.0194473576216315	0.111645615794993	0.457936254616753	0.139870502941042	0.138981350599608	0.12270302311796098	
81	HC_30_BB	0.0116534369194393	0.0248268873501098	0.15993919945955098	0.488937679446039	0.126076676237122	0.0898496875527783	0.0987164330349603	
58	HC_31_BB	0.0117493472584856	0.0256002037827167	0.152773355409794	0.496179074062281	0.114373049735719	0.130675667069987	0.0686493026810164	
74	HC_32_BB	0.012755434075231	0.0257061043863074	0.130222569308864	0.482884289990889	0.10497201613952901	0.24345958609917998		
68	HC_33_BB	0.0153401797175866	0.0262516046213094	0.12137355584082199	0.5269576379974329	0.11097560975609799	0.19910141206675197		
95	HC_34_BB	0.0171463563992652	0.0342927127985303	0.110838946723821	0.5125535823637479	0.10777709736680999	0.21739130434782603		
50	HC_35_BB	0.0101022888393761	0.0261545472959287	0.10023799878468699	0.49802511646749	0.130595503342111	0.23488454527040697		
61	HC_36_BB	0.0130802176177798	0.0273179766176641	0.14519427402863	0.510089902380677	0.109773507736235	0.11961260948412199	0.0749315121348922	
96	HC_37_BB	0.00856031128404669	0.0151750972762646	0.075875486381323	0.42062256809338505	0.136964980544747	0.342801556420233		
83	HC_38_BB	0.0101777305180009	0.0170135196718821	0.110208111803129	0.432781406653501	0.13048761962631	0.17233783989062695	0.126993771836549	
